Driver,Trip earnings,Uber service fee,Promotions,Tips,Cash collected
Alexandru Ionescu,499.4,124.85,15,8.97,236.24
Andrei Popescu,437.46,109.36,0,4.31,171.39
Bogdan Constantin,381.79,95.45,15,11.48,105.15
Cosmin Barbu,464.67,116.17,15,4.94,119.45
Cristina Dinu,233.78,58.45,20,3.39,80.33
Diana Matei,407.0,101.75,25,12.08,117.59
Dragos Nistor,384.96,96.24,20,3.69,139.21
Elena Radu,300.51,75.13,0,3.26,81.57
Gabriel Stan,458.54,114.64,0,4.19,187.7
Ioana Munteanu,369.62,92.41,0,8.32,166.32
Madalina Florea,313.51,78.38,0,3.3,77.26
Mihai Stoica,560.51,140.13,25,12.31,151.27
