Driver,Gross earnings,In-app gross earnings,Cash gross earnings,Bolt commission,Tips,Bonus
Alexandru Ionescu,552.37,364.94,187.43,138.09,15.35,15
Andrei Popescu,630.54,417.22,213.32,157.63,5.98,25
Cosmin Barbu,534.48,379.13,155.35,133.62,11.48,10
Cristina Dinu,305.35,205.74,99.61,76.34,3.27,0
Dragos Nistor,599.08,296.89,302.19,149.77,14.87,0
Elena Radu,444.39,224.27,220.12,111.1,5.54,25
Gabriel Stan,651.47,389.54,261.93,162.87,22.77,0
Ioana Munteanu,426.39,290.46,135.93,106.6,14.56,20
Raluca Popa,559.0,270.15,288.85,139.75,15.47,0
Teodora Luca,306.0,180.32,125.68,76.5,7.87,10
Vlad Georgescu,593.13,335.67,257.46,148.28,11.92,15
