Driver,Trip earnings,Uber service fee,Promotions,Tips,Cash collected
Alexandru Ionescu,485.45,121.36,25,4.19,197.75
Andrei Popescu,471.14,117.78,0,14.44,218.2
Bogdan Constantin,419.73,104.93,15,7.4,130.96
Cristina Dinu,196.34,49.09,0,4.27,62.02
Diana Matei,430.17,107.54,20,13.42,130.01
Dragos Nistor,415.71,103.93,0,4.35,132.12
Elena Radu,326.74,81.69,25,7.85,84.15
Gabriel Stan,491.28,122.82,15,6.6,190.49
Ioana Munteanu,402.59,100.65,0,12.93,91.53
Madalina Florea,285.17,71.29,0,8.65,103.84
Mihai Stoica,456.72,114.18,0,8.27,187.52
