Driver,Trip earnings,Uber service fee,Promotions,Tips,Cash collected
Alexandru Ionescu,435.41,108.85,15,4.82,193.99
Bogdan Constantin,480.69,120.17,0,9.71,113.54
Cosmin Barbu,435.52,108.88,0,11.48,205.4
Cristina Dinu,193.52,48.38,20,4.12,62.22
Diana Matei,404.11,101.03,15,11.94,102.73
Dragos Nistor,460.96,115.24,15,8.84,181.37
Elena Radu,309.65,77.41,0,6.14,129.02
Gabriel Stan,551.46,137.87,25,15.03,226.07
Ioana Munteanu,330.75,82.69,15,6.8,126.47
Madalina Florea,308.75,77.19,0,3.45,110.58
Mihai Stoica,469.52,117.38,25,5.23,133.08
