Driver,Trip earnings,Uber service fee,Promotions,Tips,Cash collected
Andrei Popescu,530.17,132.54,0,11.69,124.68
Bogdan Constantin,467.9,116.97,20,5.41,171.04
Cosmin Barbu,531.57,132.89,15,6.41,214.75
Cristina Dinu,239.13,59.78,0,3.41,69.95
Diana Matei,444.97,111.24,25,5.05,128.89
Dragos Nistor,446.52,111.63,0,7.31,108.27
Elena Radu,392.51,98.13,20,9.4,187.44
Gabriel Stan,638.22,159.56,0,10.19,247.8
Ioana Munteanu,416.7,104.17,0,5.89,124.35
Madalina Florea,331.28,82.82,25,8.83,157.56
Mihai Stoica,563.0,140.75,0,9.39,228.51
