Driver,Gross earnings,In-app gross earnings,Cash gross earnings,Bolt commission,Tips,Bonus
Alexandru Ionescu,490.99,339.49,151.5,122.75,10.41,30
Andrei Popescu,659.75,321.67,338.08,164.94,18.78,10
Cosmin Barbu,559.44,355.13,204.31,139.86,9.35,0
Cristina Dinu,261.32,156.94,104.38,65.33,9.44,10
Dragos Nistor,493.96,312.2,181.76,123.49,15.41,0
Elena Radu,341.31,172.76,168.55,85.33,11.92,0
Gabriel Stan,648.62,377.44,271.18,162.16,18.73,0
Ioana Munteanu,385.82,245.84,139.98,96.45,4.92,30
Raluca Popa,467.43,268.2,199.23,116.86,9.65,30
Vlad Georgescu,499.88,260.0,239.88,124.97,6.46,10
