Driver,Trip earnings,Uber service fee,Promotions,Tips,Cash collected
Alexandru Ionescu,412.37,103.09,0,13.12,157.07
Andrei Popescu,399.04,99.76,0,10.37,171.4
Bogdan Constantin,412.49,103.12,0,6.56,91.12
Cosmin Barbu,405.29,101.32,0,11.93,180.03
Cristina Dinu,214.81,53.7,0,1.94,95.54
Diana Matei,330.21,82.55,0,9.48,73.78
Dragos Nistor,402.71,100.68,0,11.01,135.7
Elena Radu,301.55,75.39,0,3.54,115.3
Gabriel Stan,502.33,125.58,0,5.31,157.49
Ioana Munteanu,351.47,87.87,25,7.9,160.17
Madalina Florea,255.75,63.94,15,2.37,56.93
Mihai Stoica,416.86,104.22,0,3.83,114.12
