Driver,Gross earnings,In-app gross earnings,Cash gross earnings,Bolt commission,Tips,Bonus
Alexandru Ionescu,664.47,358.84,305.63,166.12,9.82,10
Andrei Popescu,837.19,477.49,359.7,209.3,11.14,0
Cosmin Barbu,551.26,301.2,250.06,137.81,11.23,0
Cristina Dinu,375.06,220.89,154.17,93.77,10.74,0
Dragos Nistor,541.04,279.95,261.09,135.26,6.59,0
Elena Radu,493.83,252.05,241.78,123.46,11.26,30
Gabriel Stan,714.83,443.13,271.7,178.71,16.05,0
Ioana Munteanu,488.42,275.18,213.24,122.11,17.72,15
Raluca Popa,541.44,386.66,154.78,135.36,6.36,25
Teodora Luca,383.17,194.32,188.85,95.79,5.25,30
Vlad Georgescu,568.61,321.41,247.2,142.15,15.68,0
