Driver,Trip earnings,Uber service fee,Promotions,Tips,Cash collected
Alexandru Ionescu,486.49,121.62,0,15.62,160.48
Andrei Popescu,531.73,132.93,15,14.04,206.74
Bogdan Constantin,446.31,111.58,20,6.34,105.6
Cosmin Barbu,507.45,126.86,20,9.15,224.91
Cristina Dinu,274.99,68.75,0,7.66,131.97
Diana Matei,412.36,103.09,0,6.82,121.97
Dragos Nistor,516.54,129.13,0,6.17,164.72
Elena Radu,414.4,103.6,0,12.19,165.28
Gabriel Stan,551.58,137.9,0,9.44,230.39
Ioana Munteanu,410.29,102.57,20,12.56,196.66
Madalina Florea,312.14,78.03,0,2.91,111.64
Mihai Stoica,523.31,130.83,15,6.1,229.91
