Driver,Gross earnings,In-app gross earnings,Cash gross earnings,Bolt commission,Tips,Bonus
Alexandru Ionescu,627.72,436.31,191.41,156.93,6.77,0
Andrei Popescu,628.83,441.86,186.97,157.21,8.43,0
Cosmin Barbu,556.12,398.46,157.66,139.03,16.3,25
Cristina Dinu,319.58,199.14,120.44,79.89,4.41,25
Dragos Nistor,551.72,265.57,286.15,137.93,14.96,0
Elena Radu,402.23,233.95,168.28,100.56,11.44,0
Gabriel Stan,618.78,408.96,209.82,154.69,16.94,0
Ioana Munteanu,419.2,203.25,215.95,104.8,8.69,10
Raluca Popa,417.46,293.86,123.6,104.36,8.26,10
Teodora Luca,295.53,207.5,88.03,73.88,5.45,10
Vlad Georgescu,562.54,304.95,257.59,140.63,19.71,20
