Driver,Trip earnings,Uber service fee,Promotions,Tips,Cash collected
Alexandru Ionescu,596.11,149.03,0,8.45,171.41
Andrei Popescu,516.55,129.14,25,11.44,198.23
Bogdan Constantin,522.64,130.66,0,9.47,223.11
Cosmin Barbu,520.89,130.22,0,10.0,217.02
Cristina Dinu,229.94,57.48,0,2.41,79.14
Diana Matei,469.44,117.36,15,5.09,167.78
Dragos Nistor,424.74,106.19,25,9.58,196.06
Elena Radu,335.71,83.93,0,10.42,159.11
Gabriel Stan,612.6,153.15,15,9.7,192.97
Ioana Munteanu,472.0,118.0,0,11.69,118.35
Madalina Florea,385.74,96.44,0,9.69,179.85
Mihai Stoica,552.35,138.09,0,8.4,168.34
