Driver,Gross earnings,In-app gross earnings,Cash gross earnings,Bolt commission,Tips,Bonus
Alexandru Ionescu,483.1,291.05,192.05,120.78,10.48,25
Andrei Popescu,488.58,255.36,233.22,122.14,15.9,25
Cosmin Barbu,433.56,252.81,180.75,108.39,11.32,0
Cristina Dinu,226.14,118.8,107.34,56.53,3.46,20
Dragos Nistor,389.41,190.73,198.68,97.35,6.95,15
Elena Radu,372.04,223.42,148.62,93.01,5.45,0
Gabriel Stan,506.25,305.01,201.24,126.56,15.54,25
Ioana Munteanu,342.08,173.15,168.93,85.52,12.5,0
Raluca Popa,348.11,176.04,172.07,87.03,10.05,30
Teodora Luca,301.28,186.67,114.61,75.32,6.14,30
