Driver,Gross earnings,In-app gross earnings,Cash gross earnings,Bolt commission,Tips,Bonus
Alexandru Ionescu,630.83,406.23,224.6,157.71,9.29,0
Andrei Popescu,606.86,413.35,193.51,151.72,20.0,30
Cosmin Barbu,468.55,336.28,132.27,117.14,16.87,20
Cristina Dinu,270.95,155.01,115.94,67.74,5.26,20
Dragos Nistor,494.17,352.25,141.92,123.54,9.98,15
Elena Radu,367.1,214.93,152.17,91.78,6.0,30
Gabriel Stan,668.82,448.2,220.62,167.21,6.8,0
Ioana Munteanu,426.46,257.06,169.4,106.61,15.36,10
Raluca Popa,478.69,295.7,182.99,119.67,16.36,0
Teodora Luca,339.36,177.47,161.89,84.84,6.17,15
Vlad Georgescu,486.89,306.36,180.53,121.72,12.91,10
