Driver,Gross earnings,In-app gross earnings,Cash gross earnings,Bolt commission,Tips,Bonus
Alexandru Ionescu,492.39,252.39,240.0,123.1,10.99,0
Andrei Popescu,565.91,342.64,223.27,141.48,8.51,25
Cosmin Barbu,537.38,278.66,258.72,134.34,17.67,30
Cristina Dinu,288.68,183.19,105.49,72.17,9.87,0
Dragos Nistor,471.64,312.53,159.11,117.91,15.01,0
Elena Radu,324.74,228.5,96.24,81.19,4.19,25
Gabriel Stan,545.63,352.18,193.45,136.41,7.53,25
Ioana Munteanu,402.78,271.81,130.97,100.69,4.63,0
Raluca Popa,456.29,294.88,161.41,114.07,6.2,0
Teodora Luca,282.3,136.16,146.14,70.58,5.37,0
Vlad Georgescu,515.93,276.09,239.84,128.98,5.41,0
