Driver,Gross earnings,In-app gross earnings,Cash gross earnings,Bolt commission,Tips,Bonus
Alexandru Ionescu,723.13,417.45,305.68,180.78,15.36,15
Andrei Popescu,766.08,476.84,289.24,191.52,16.27,30
Cosmin Barbu,633.26,428.38,204.88,158.31,13.74,30
Cristina Dinu,300.49,180.68,119.81,75.12,10.72,10
Dragos Nistor,623.0,306.28,316.72,155.75,9.32,30
Elena Radu,406.5,196.58,209.92,101.62,5.6,15
Gabriel Stan,766.08,478.1,287.98,191.52,12.51,30
Raluca Popa,477.32,265.79,211.53,119.33,7.33,20
Teodora Luca,418.69,297.79,120.9,104.67,4.01,0
Vlad Georgescu,580.51,284.71,295.8,145.13,15.37,0
