Driver,Gross earnings,In-app gross earnings,Cash gross earnings,Bolt commission,Tips,Bonus
Alexandru Ionescu,512.40,320.00,192.40,128.10,11.20,0.00
Andrei Popescu,645.00,400.00,245.00,161.25,12.00,0.00
Bogdan Constantin,389.50,389.50,0.00,97.38,7.50,10.00
Cosmin Barbu,601.80,370.00,231.80,150.45,9.80,0.00
Cristina Dinu,290.00,180.00,110.00,72.50,6.00,10.00
Diana Matei,320.60,260.00,60.60,80.15,8.30,0.00
Dragos Nistor,470.20,295.00,175.20,117.55,14.00,0.00
Elena Radu,355.70,210.00,145.70,88.93,10.50,0.00
Gabriel Stan,598.40,380.00,218.40,149.60,17.20,20.00
Ioana Munteanu,412.00,412.00,0.00,103.00,8.00,15.00
Madalina Florea,278.90,200.00,78.90,69.73,6.40,0.00
Mihai Stoica,534.60,350.00,184.60,133.65,9.90,0.00
Raluca Popa,441.30,280.00,161.30,110.33,8.70,10.00
Vlad Georgescu,528.00,300.00,228.00,132.00,5.00,0.00
