Driver,Trip earnings,Uber service fee,Promotions,Tips,Cash collected
Alexandru Ionescu,522.72,130.68,15,10.4,153.18
Andrei Popescu,497.88,124.47,25,14.33,166.52
Bogdan Constantin,451.51,112.88,25,5.32,175.13
Cosmin Barbu,448.42,112.11,25,10.79,147.37
Cristina Dinu,185.57,46.39,0,2.23,65.24
Diana Matei,364.51,91.13,0,7.64,168.59
Dragos Nistor,400.8,100.2,0,8.88,126.28
Elena Radu,293.1,73.28,25,7.17,112.24
Gabriel Stan,482.61,120.65,0,5.44,137.56
Ioana Munteanu,396.36,99.09,0,7.91,164.32
Madalina Florea,329.39,82.35,0,3.74,78.34
Mihai Stoica,476.75,119.19,0,6.38,214.37
