Driver,Trip earnings,Uber service fee,Promotions,Tips,Cash collected
Alexandru Ionescu,451.74,112.94,25,8.06,137.42
Andrei Popescu,481.95,120.49,0,5.21,209.88
Cosmin Barbu,435.98,109.0,0,13.34,185.28
Cristina Dinu,192.24,48.06,20,2.67,73.34
Diana Matei,364.19,91.05,0,9.19,162.08
Dragos Nistor,381.51,95.38,20,8.28,142.28
Elena Radu,351.42,87.86,0,9.96,94.2
Gabriel Stan,464.09,116.02,0,14.8,190.72
Ioana Munteanu,402.15,100.54,15,9.56,157.35
Madalina Florea,316.84,79.21,15,6.16,126.99
Mihai Stoica,563.24,140.81,0,17.23,128.6
